TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
CLASSES - FIF;00.071.477/0001-68;BB RENDA FIXA AUTOMÁTICO EMPRESA SIMPLES FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO RESP LIMITADA;2025-02-28;1068956770.03
CLASSES - FIF;00.306.278/0001-91;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-02-28;2703157726.36
CLASSES - FIF;00.398.561/0001-90;PORTO ALISIOS FUNDO DE INVESTIMENTO FINANCEIRO DA CIC EM AÇÕES RESP LIMITADA;2025-02-28;20269904.41
CLASSES - FIF;00.777.815/0001-81;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-02-28;103812546.96
CLASSES - FIF;00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA FIF DA CIC RESP LIMITADA;2025-02-28;64460094.41
CLASSES - FIF;00.812.433/0001-41;BNB AUTOMÁTICO CLASSE DE INVESTIMENTO RENDA FIXA CURTO PRAZO - RESP LIMITADA;2025-02-28;4643859549.27
CLASSES - FIF;00.817.201/0001-86;ITAU RENDA FIXA PLUS FIF DA CLASSE DE INVESTIMENTO EM COTAS RESPONSABILIDADE LIMITADA;2025-02-28;14172501.04
CLASSES - FIF;00.824.198/0001-28;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-02-28;57318645.43
CLASSES - FIF;00.826.907/0001-04;ITAÚ MEDIUM TERM CAPITAL FIX RENDA FIXA REFERENCIADO DI FIF DA CIC RESP LIMITADA;2025-02-28;22961671.34
CLASSES - FIF;00.826.911/0001-72;GOLDEN DI RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA;2025-02-28;7856963.33
CLASSES - FIF;00.828.941/0001-18;ITAÚ ADVANTAGE RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA;2025-02-28;2537402.19
CLASSES - FIF;00.829.280/0001-45;ITAÚ RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2025-02-28;2223924254.91
CLASSES - FIF;00.829.282/0001-34;ITAU EMPRESA RENDA FIXA REFERENCIADO DI FIF CIC RESP LIMITADA;2025-02-28;15897898.13
CLASSES - FIF;00.829.292/0001-70;ITAÚ CORP RENDA FIXA REFERENCIADO DI FUNDO DE INVESTIMENTO FINANCEIRO DA CIC RESP LIMITADA;2025-02-28;577306662.84
